Event#, Q2, W, MX, xF1, xF2, y, x, z, Mh, phperp, phiH, phiR, theta
11233, 1.63, 3.83, 2.71, 0.19, 0.19, 0.78, 0.11, 0.42, 0.96, 0.28, 3.00, 5.61, 1.41
16013, 4.39, 2.78, 1.62, 0.11, 0.11, 0.56, 0.39, 0.64, 0.89, 0.23, 3.80, 5.44, 1.81
16942, 3.35, 2.91, 1.74, 0.17, 0.17, 0.55, 0.31, 0.52, 0.34, 0.81, 4.10, 0.33, 1.50
18881, 5.20, 2.74, 1.87, 0.29, 0.29, 0.59, 0.44, 0.56, 0.35, 0.20, 1.62, 5.83, 1.25
25860, 2.33, 3.18, 2.14, 0.16, 0.16, 0.58, 0.20, 0.55, 0.56, 0.30, 2.58, 1.17, 1.77
28258, 2.19, 3.52, 2.54, 0.15, 0.15, 0.69, 0.16, 0.45, 0.70, 0.16, 3.64, 5.60, 1.65
29076, 1.61, 3.66, 2.12, 0.40, 0.40, 0.71, 0.11, 0.66, 0.67, 0.46, 2.43, 4.41, 1.15
31233, 2.46, 3.31, 2.16, 0.13, 0.13, 0.63, 0.20, 0.55, 0.74, 0.38, 3.46, 1.94, 1.76
34074, 3.12, 3.08, 1.68, 0.15, 0.15, 0.59, 0.27, 0.66, 0.58, 0.68, 2.46, 3.64, 1.79
35719, 4.37, 3.25, 2.25, 0.14, 0.14, 0.71, 0.31, 0.46, 0.48, 0.56, 2.92, 0.64, 1.81
36855, 1.66, 3.66, 2.57, 0.09, 0.09, 0.71, 0.12, 0.38, 0.89, 0.48, 0.79, 2.56, 1.53
41775, 1.84, 3.56, 2.14, 0.08, 0.08, 0.69, 0.13, 0.52, 0.59, 0.90, 3.92, 2.74, 1.71
44973, 2.49, 3.37, 2.29, 0.12, 0.12, 0.65, 0.19, 0.52, 0.67, 0.34, 3.99, 5.66, 1.84
46703, 2.18, 3.26, 2.11, 0.14, 0.14, 0.60, 0.18, 0.48, 1.03, 0.29, 1.42, 4.00, 1.60
51407, 2.50, 3.50, 2.39, 0.26, 0.26, 0.70, 0.18, 0.50, 0.78, 0.32, 0.54, 4.33, 1.32
54840, 2.82, 2.86, 1.64, 0.27, 0.27, 0.51, 0.28, 0.63, 0.89, 0.42, 4.02, 2.01, 1.35
54840, 2.82, 2.86, 1.82, 0.18, 0.18, 0.51, 0.28, 0.51, 0.75, 0.47, 5.47, 1.32, 1.55
56854, 4.84, 3.04, 1.68, 0.29, 0.29, 0.66, 0.37, 0.70, 0.44, 0.48, 4.14, 1.02, 1.67
61418, 2.34, 2.95, 1.83, 0.17, 0.17, 0.51, 0.23, 0.60, 0.87, 0.21, 0.54, 0.03, 1.47
68798, 4.88, 3.00, 1.70, 0.25, 0.25, 0.65, 0.37, 0.57, 0.31, 0.85, 4.75, 1.02, 0.62
72221, 2.45, 3.43, 1.55, 0.15, 0.15, 0.67, 0.18, 0.65, 0.42, 1.17, 3.26, 1.04, 1.98
73874, 1.88, 3.29, 2.27, 0.12, 0.12, 0.59, 0.16, 0.46, 0.89, 0.15, 5.21, 1.54, 1.66
74496, 4.04, 2.84, 1.65, 0.35, 0.35, 0.56, 0.36, 0.64, 0.83, 0.37, 3.47, 0.95, 1.25
76349, 1.65, 3.31, 1.94, 0.22, 0.22, 0.59, 0.14, 0.58, 0.48, 0.81, 3.80, 0.42, 1.69
79366, 1.50, 3.36, 2.36, 0.21, 0.21, 0.60, 0.13, 0.45, 0.69, 0.42, 1.41, 4.40, 1.51
81019, 1.89, 2.85, 1.71, 0.19, 0.19, 0.46, 0.21, 0.68, 0.69, 0.10, 2.56, 4.40, 1.76
83749, 1.45, 3.58, 2.25, 0.24, 0.24, 0.67, 0.11, 0.59, 0.99, 0.16, 0.95, 4.05, 1.51
83749, 1.45, 3.58, 2.48, 0.17, 0.17, 0.67, 0.11, 0.48, 0.72, 0.39, 0.80, 4.13, 1.73
85112, 1.72, 3.87, 2.87, 0.15, 0.15, 0.79, 0.11, 0.37, 0.70, 0.46, 3.80, 1.26, 1.59
87002, 2.83, 3.42, 2.65, 0.12, 0.12, 0.69, 0.21, 0.37, 0.48, 0.30, 4.17, 5.90, 1.65
88276, 5.81, 2.87, 1.84, 0.10, 0.10, 0.66, 0.44, 0.48, 0.95, 0.23, 4.29, 4.89, 1.33
88494, 3.15, 3.63, 2.13, 0.15, 0.15, 0.78, 0.20, 0.64, 0.53, 0.62, 2.94, 4.88, 2.07
95298, 3.90, 3.44, 1.56, 0.26, 0.26, 0.75, 0.26, 0.74, 1.44, 0.52, 5.23, 1.54, 1.60
95709, 2.79, 3.60, 2.52, 0.12, 0.12, 0.75, 0.19, 0.46, 0.45, 0.58, 3.59, 5.38, 1.87
97588, 1.59, 3.43, 1.81, 0.18, 0.18, 0.63, 0.13, 0.67, 0.98, 0.63, 0.86, 4.11, 1.93
98125, 2.17, 3.45, 1.99, 0.34, 0.34, 0.66, 0.16, 0.60, 0.62, 0.78, 2.09, 4.97, 1.21
99427, 2.59, 3.60, 2.23, 0.23, 0.23, 0.74, 0.18, 0.57, 0.63, 0.64, 3.37, 4.93, 1.47
101225, 3.63, 2.62, 1.70, 0.26, 0.26, 0.48, 0.38, 0.60, 0.42, 0.31, 3.10, 6.27, 1.56
103708, 1.84, 3.14, 1.93, 0.20, 0.20, 0.54, 0.17, 0.57, 0.46, 0.68, 3.44, 1.77, 1.55
105359, 2.97, 2.94, 1.53, 0.10, 0.10, 0.54, 0.28, 0.66, 0.56, 0.76, 3.64, 2.39, 1.93
